category,year,brand,purchase_count,product_count,avg_price,avg_rating,compact_share,dual_basket_share,oven_style_share,rotisserie_share,window_share,market_purchases,brand_share,log_brand_share,predicted_log_share,demand_slope,unit_cost,markup,average_profit,profit_derivative
air_fryers,2019,chefman,1146,10,72.96369506726458,4.434118673647469,1.0,0.0,0.7809773123909249,0.2434554973821989,0.1841186736474694,15076,0.0760148580525338,-2.5768264571123414,-2.456469668758352,-0.002645647853289376,44.231655783191556,28.732039284073025,2.1840618877386357,-1.3877787807814457e-17
air_fryers,2019,cosori,11,2,159.99,4.581818181818182,1.0,0.0,0.0909090909090909,0.0909090909090909,0.0,15076,0.0007296365083576,-7.222964081588655,-5.986037598630569,-2.746364169437416e-05,133.42263808648278,26.56736191351723,0.0193845171828514,1.0842021724855044e-19
air_fryers,2019,cuisinart,1616,22,229.4652743902439,4.481311881188119,0.9938118811881188,0.0,0.8898514851485149,0.0,0.0,15076,0.1071902361369063,-2.2331501153059854,-2.7549652905756687,-0.0036048128256668784,199.72996181764827,29.73531257259563,3.1873351762612447,-1.3877787807814457e-17
air_fryers,2019,dash,3011,19,55.17633256351039,4.390767186981069,1.0,0.0,0.973430753902358,0.0,0.0,15076,0.1997214115149907,-1.6108318259052925,-2.238692883798615,-0.006020525289415057,22.002912983971463,33.17341957953893,6.6254421832045445,-2.7755575615628914e-17
air_fryers,2019,gowise usa,4405,45,83.57555088088351,4.552258796821793,0.9997729852440408,0.0,0.1293984108967082,0.1284903518728717,0.0,15076,0.2921862563014062,-1.230363816016746,-1.8698620318129109,-0.007790177189111626,46.0685405512858,37.50701032959771,10.959032933263327,0.0
air_fryers,2019,instant_pot,238,13,78.01994535519125,4.364285714285715,0.542016806722689,0.0,0.5504201680672269,0.0,0.0,15076,0.0157866808171928,-4.148588680715552,-3.9738030761520093,-0.0005852597090170122,51.04614112098603,26.973804234205225,0.4258268378708416,0.0
air_fryers,2019,ninja,2904,18,112.15837398373984,4.778650137741047,0.9944903581267218,0.0,0.0,0.0,0.0,15076,0.1926240382064208,-1.6470149784423394,-0.5557617752488717,-0.005858074074334024,79.2765708924535,32.88180309128633,6.333825694951943,0.0
air_fryers,2019,nuwave,484,15,151.09993650793652,4.3219008264462815,0.993801652892562,0.0,0.5619834710743802,0.1115702479338843,0.0,15076,0.0321040063677368,-3.4387744476703945,-3.996314470705144,-0.0011704597558971693,123.67139297537503,27.42854353256149,0.8805661362271,-6.938893903907228e-18
air_fryers,2019,oster,506,5,191.94368811881188,4.3808300395256925,1.0,0.0,0.7727272727272727,0.0,0.0,15076,0.0335632793844521,-3.3943226850995605,-4.031557766857501,-0.0012218175862200344,164.47372880329112,27.469959315520754,0.9219819191863555,-2.0816681711721685e-17
air_fryers,2019,ultrean,755,4,80.62467492260062,4.618013245033113,1.0,0.0,0.8357615894039735,0.0,0.0,15076,0.0500795967100026,-2.994141605138001,-2.6335141304552323,-0.0017919116772313719,52.67709394172378,27.947580980876836,1.3996035845424508,0.0
air_fryers,2020,chefman,1761,14,97.42624571428571,4.355763770584895,1.0,0.0,0.6774559909142532,0.5110732538330494,0.3214082907438955,30291,0.0581360800237694,-2.8449688091762244,-3.2325355201005053,-0.002062540411489117,69.23960767319338,28.186638041092337,1.638660644757967,1.3877787807814457e-17
air_fryers,2020,cosori,260,5,115.64944881889764,4.661923076923077,0.9961538461538462,0.0,0.0153846153846153,0.0153846153846153,0.0,30291,0.0085834076128222,-4.757924286656903,-3.9296033565653303,-0.0003205416593336911,88.87162645825815,26.77782236063949,0.22984496430511356,1.734723475976807e-18
air_fryers,2020,cuisinart,3094,35,227.91495210329023,4.460568842921784,0.9993535875888816,0.0,0.8859082094376212,0.0,0.0,30291,0.1021425505925852,-2.2813858865394194,-2.536724745494828,-0.0034544797361357243,198.34680917162996,29.568142931660276,3.0201655353259005,2.7755575615628914e-17
air_fryers,2020,dash,3074,33,58.38621890547264,4.4899479505530255,0.9990240728692258,0.0,0.9661678594664932,0.0,0.0,30291,0.101482288468522,-2.2878709935738897,-2.235696615989994,-0.0034346734681303397,28.839803675566152,29.546415229906486,2.998437833572102,0.0
air_fryers,2020,gowise usa,5164,41,86.95289777411377,4.579318357862122,0.9996127033307514,0.0,0.1888071262587141,0.1886134779240898,0.0,30291,0.1704796804331319,-1.7691391657058977,-2.097584513412251,-0.005326822336833661,54.94888681727989,32.00401095683387,5.456033560499491,0.0
air_fryers,2020,instant_pot,4336,26,120.0477818853974,4.595664206642066,0.922509225092251,0.0,0.4940036900369003,0.1086254612546125,0.0,30291,0.1431448284969132,-1.9438983745529488,-2.362543054868489,-0.0046201028703767855,89.06474265163263,30.98303923376477,4.435061837430391,2.7755575615628914e-17
air_fryers,2020,ninja,5020,33,140.44559467918623,4.753326693227092,0.9844621513944224,0.0,0.0328685258964143,0.0,0.0,30291,0.1657257931398765,-1.7974207049866555,-1.5440915991262578,-0.0052079581266754335,108.62394997528196,31.82164470390427,5.273667307569886,0.0
air_fryers,2020,nuwave,2404,19,119.90278536800352,4.446880199667221,0.9970881863560732,0.0,0.3198835274542429,0.0158069883527454,0.0,30291,0.079363507312403,-2.5337166220173324,-2.560665634320225,-0.0027521848436395614,91.0662384711568,28.836546896846727,2.2885695005123474,1.3877787807814457e-17
air_fryers,2020,oster,436,9,185.5961757105943,4.385321100917431,1.0,0.0,0.8784403669724771,0.0,0.0,30291,0.0143937143045789,-4.240963674323396,-3.46682869064977,-0.0005343734884698172,158.66049380430172,26.935681906292587,0.38770450995819067,-5.204170427930421e-18
air_fryers,2020,ultrean,4742,5,76.8403198294243,4.680493462673978,1.0,0.0,0.8401518346689161,0.0,0.0,30291,0.1565481496153973,-1.85439165104708,-2.345406438052134,-0.0049736680311331,45.36492809932274,31.475391730101563,4.927414333767178,-2.7755575615628914e-17
air_fryers,2021,chefman,2600,16,92.08435303205871,4.4592307692307696,0.9980769230769232,0.003076923076923,0.445,0.3411538461538461,0.3634615384615384,30850,0.0842787682333873,-2.4736253053239605,-2.0724640552809426,-0.00290703341751023,63.09302196384931,28.991331068209405,2.443353671875021,1.3877787807814457e-17
air_fryers,2021,cosori,1084,10,97.42203791469193,4.67850553505535,0.988929889298893,0.0,0.0156826568265682,0.0119926199261992,0.0,30850,0.0351377633711507,-3.348478847333942,-3.3665026954863713,-0.001277050241918049,69.90725249922073,27.514785415471195,0.9668080191368154,6.938893903907228e-18
air_fryers,2021,cuisinart,2682,37,224.30121973094168,4.449962714392244,0.999254287844892,0.0,0.9228187919463088,0.0,0.0,30850,0.0869367909238249,-2.44257396549191,-2.4101266272470774,-0.002990012539284906,195.2254918597078,29.07572787123388,2.5277504748994883,-2.7755575615628914e-17
air_fryers,2021,dash,2556,32,57.73156237383932,4.5055946791862285,0.9992175273865416,0.0,0.9119718309859156,0.0,0.0,30850,0.0828525121555915,-2.4906932138361086,-2.38704682157395,-0.002862288612449667,28.785315725188873,28.946246648650444,2.3982692523160605,0.0
air_fryers,2021,gowise usa,3572,31,84.62934397163122,4.590257558790594,1.0,0.0,0.1738521836506159,0.1738521836506159,0.0,30850,0.1157860615883306,-2.156011087337144,-2.025568425788112,-0.0038564011111569653,54.604961587405256,30.02438238422596,3.4764049878915753,0.0
air_fryers,2021,instant_pot,6172,47,113.63558060879367,4.597602073882047,0.9552819183408944,0.0,0.7112767336357745,0.1343162670123136,0.0,30850,0.200064829821718,-1.6091138158504823,-1.599825774690613,-0.00602828951150992,80.44791942567852,33.187661183115154,6.639683786780769,0.0
