brand,avg_price,avg_share,unit_cost,markup,average_profit
ninja,145.3425408566312,0.19156746149235898,112.48847031464761,32.85407054198359,6.306093145649206
instant_pot,104.46135273162895,0.17492131284469675,71.90311910067467,32.55823363095429,6.010256234619906
gowise usa,87.45478091948101,0.13800450440385664,56.30103971862847,31.153741200852533,4.60576380451815
dash,57.47892697965635,0.0978619154286126,27.93657766082856,29.542349318827785,2.9943719224934022
chefman,90.93841136222986,0.09507933567433488,61.56946552937853,29.368945832851335,2.8209684365169556
ultrean,78.11460573862581,0.09236899014031555,48.78576453308884,29.328841205536975,2.7808638092025904
cuisinart,223.94709311219026,0.08578694346867932,194.89611874868737,29.050974363502906,2.502996967168521
cosori,114.26794969907527,0.04897442798415774,86.28332125414138,27.9846284449339,1.4366510485995234
nuwave,137.0243838577022,0.05055910518461678,109.05354863136449,27.970835226337698,1.4228578300033135
oster,189.03128393670391,0.024876003378370398,161.80496864548212,27.226315291221784,0.6783378948873893
